onset	condition	dur
12.081239849329	objects	16
28.5957404248184	scrambled	16
44.1359479511157	people	16
60.6851157569326	places	16
77.2356222990202	food	16
105.837398119504	scrambled	16
121.367452638573	people	16
137.965597081464	food	16
154.549731061445	places	16
171.048973589321	objects	16
199.57396850537	scrambled	16
214.671986056375	food	16
231.261987258797	people	16
247.820906617097	places	16
264.378335412242	objects	16
